id,x,y,base_template,steer_template,base_input,base_label,label_score,label_accuracy,label_instructions_template,label_prompt_template
1390,"Translate the following quote:

“A ship is safe in harbor, but that's not what ships are for.”

Translation:","Chinese: “船停泊在港口固然安全，但船的使命绝不仅仅是为了停靠在港口。”

French: “Un navire est en sécurité dans un port, mais ce n'est pas pour cela qu'il a été conçu.”","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“A ship is safe in harbor, but that's not what ships are for.”",John A. Shedd,2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
337,"Translate the following quote:

“You talk when you cease to be at peace with your thoughts.”

Translation:","Chinese Translation:
“当你无法与自己的思绪和谐共处时，你便开始开口说话。”

French Translation:
« Tu parles quand tu n'es plus en paix avec tes pensées. »","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:",“You talk when you cease to be at peace with your thoughts.”,"Kahlil Gibran,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
1184,"Translate the following quote:

“Follow your heart, listen to your inner voice, stop caring about what others think.”

Translation:","Chinese: 跟随你的内心，倾听你内在的声音，不再在乎他人的看法。

French: Suis ton cœur, écoute ta voix intérieure, arrête de te soucier de ce que pensent les autres.","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“Follow your heart, listen to your inner voice, stop caring about what others think.”","Roy T. Bennett,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
455,"Translate the following quote:

“Never laugh at live dragons.”

Translation:","Chinese Translation: 永远不要嘲笑活龙。  
French Translation: Ne ris jamais de dragons vivants. ","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:",“Never laugh at live dragons.”,J.R.R. Tolkien,2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
1515,"Translate the following quote:

“Anyway, I keep picturing all these little kids playing some game in this big field of rye and all. Thousands of little kids, and nobody's around - nobody big, I mean - except me. And I'm standing on the edge of some crazy cliff. What I have to do, I have to catch everybody if they start to go over the cliff - I mean if they're running and they don't look where they're going I have to come out from somewhere and catch them. That's all I do all day. I'd just be the catcher in the rye and all. I know it's crazy, but that's the only thing I'd really like to be.”

Translation:","Below are the translations in Chinese and French:

────────────────────────
Chinese:
“总之，我总是浮想联翩，想象着这些小孩子在一大片黑麦田里玩某种游戏。成千上万的小孩，周围没有其他人——我是说，没有大人，除了我。而我正站在一个疯狂悬崖的边缘。我的任务就是，如果他们一旦开始靠近悬崖——也就是说，如果他们奔跑时不注意前方，我就必须从某个地方冲出来把他们抓住。这就是我一整天所做的事情。我就只做‘麦田守望者’这份工作。我知道这听起来很疯狂，但这是我唯一真正想成为的样子.”

────────────────────────
French:
« Enfin, je n’arrête pas de m’imaginer tous ces gamins qui jouent à un jeu dans ce grand champ de seigle et tout ça. Des milliers de petits, et personne autour – je veux dire, aucun adulte, hormis moi. Et moi, je me tiens au bord d’une falaise complètement folle. Ce que je dois faire, c’est attraper tout le monde s'ils commencent à se diriger vers le borde de la falaise – c’est-à-dire, s'ils courent sans regarder où ils vont, je dois surgir de quelque part et les attraper. C’est tout ce que je fais, toute la journée. Je serais juste l’« attrapeur dans le seigle » et tout ça. Je sais, c’est fou, mais c’est la seule chose que j’aimerais vraiment être. »
","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“Anyway, I keep picturing all these little kids playing some game in this big field of rye and all. Thousands of little kids, and nobody's around - nobody big, I mean - except me. And I'm standing on the edge of some crazy cliff. What I have to do, I have to catch everybody if they start to go over the cliff - I mean if they're running and they don't look where they're going I have to come out from somewhere and catch them. That's all I do all day. I'd just be the catcher in the rye and all. I know it's crazy, but that's the only thing I'd really like to be.”","J. D. Salinger,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
2254,"Translate the following quote:

“Never marry at all, Dorian. Men marry because they are tired, women, because they are curious: both are disappointed.”

Translation:","Chinese:
“绝对不要结婚，Dorian。男人结婚是因为他们感到疲惫，女人则因好奇；两者最终都将感到失望。”

French:
« Ne te marie jamais, Dorian. Les hommes se marient parce qu'ils sont fatigués, les femmes parce qu'elles sont curieuses : tous deux finissent par être déçus. »","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“Never marry at all, Dorian. Men marry because they are tired, women, because they are curious: both are disappointed.”","Oscar Wilde,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
161,"Translate the following quote:

“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”

Translation:","Here are the translations:

Chinese:
“我断言，毕竟没有什么乐趣能比阅读更美妙！人们对其他任何事物总是比对书本更快生厌——当我拥有自己的房子时，如果没有一座卓越的图书馆，我必将陷入困顿。”

French:
« J’affirme qu’après tout, il n’y a aucun plaisir comparable à la lecture ! On se lasse de toute chose bien plus rapidement que d’un livre ! – Lorsque j’aurai ma propre maison, je serai malheureux si je ne possède pas une excellente bibliothèque. »","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","Jane Austen,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
2069,"Translate the following quote:

“I was dead until you found me, though I breathed. I was sightless, though I could see. And then you came...and I was awakened.”

Translation:","Below are the translations:

Chinese:
  在你发现我之前，我仿佛已死去，尽管我还在呼吸。曾经，我虽然有看见的能力，却仿佛失去了视力。直到你出现……我才彻底苏醒。

French:
  J’étais mort jusqu’à ce que tu me trouves, même si je continuais à respirer. J’étais aveugle, même si je pouvais voir. Et puis tu es venu… et j’ai été réveillé.","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“I was dead until you found me, though I breathed. I was sightless, though I could see. And then you came...and I was awakened.”","J.R. Ward,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
747,"Translate the following quote:

“My tastes are simple: I am easily satisfied with the best.”

Translation:","Chinese: 我的品味很简单：最好的就足以让我满足。

French: Mes goûts sont simples : je suis facilement satisfait du meilleur.","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:",“My tastes are simple: I am easily satisfied with the best.”,Winston S. Churchill,2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
702,"Translate the following quote:

“If you have a garden and a library, you have everything you need.”

Translation:","Chinese: 如果你拥有一个花园和一个图书馆，你就拥有了一切所需。

French: Si vous avez un jardin et une bibliothèque, vous avez tout ce dont vous avez besoin.","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“If you have a garden and a library, you have everything you need.”",Cicero,2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
1297,"Translate the following quote:

“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”

Translation:","Chinese:
“放手意味着意识到，有些人只是你历史的一部分，而不是你命运的一部分。”

French:
« Lâcher prise signifie réaliser que certaines personnes font partie de votre histoire, mais pas de votre destin. »","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",Steve Maraboli,2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
201,"Translate the following quote:

“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”

Translation:","Chinese Translation:
记住，如果有一天你不得不在“正确”与“轻松”之间做出选择，请记住那个因为误入伏地魔之路而遭遇不幸的男孩——他曾是那么的善良、温柔、勇敢。记住：赛德里克·迪戈里。

French Translation:
Souviens-toi que, si le moment se présente où tu devras choisir entre ce qui est juste et ce qui est facile, souviens-toi de ce qui est arrivé à un garçon qui était bon, aimable et courageux, parce qu’il s’est égaré sur le chemin de Lord Voldemort. Souviens-toi de Cedric Diggory.","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:","“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”","J.K. Rowling,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
1130,"Translate the following quote:

“Start each day with a positive thought and a grateful heart.”

Translation:","Chinese: “以积极的心态和感恩的心开始每一天。”

French: “Commencez chaque jour avec une pensée positive et un cœur reconnaissant.”","{prompt}

Translation:","Translate the following quote into Chinese and French:

{prompt}

Translation:",“Start each day with a positive thought and a grateful heart.”,"Roy T. Bennett,",2,1.0,"You are an impartial expert judge tasked with evaluating whether an English quote has been accurately and faithfully translated into both Chinese and French.

Input:
- Quote: The original English text.
- Translation: The provided translation in Chinese and French.

Evaluation Criteria:
- Meaning Preservation: Does the translation faithfully capture the meaning and intent of the original quote?
- Language Coverage: Does the translation include both Chinese and French?
- Accuracy: Are the translations reasonable and natural, not nonsensical or incorrect?

Scoring:
- Assign one numeric score based on overall quality:
  0 = Meaning not preserved, or neither Chinese nor French is included.
  1 = Meaning preserved but only one language (Chinese or French) is included.
  2 = Meaning preserved with both Chinese and French included.

Output:
- Provide only the numeric score (0-2).
","[Quote]
{prompt}

[Translation]
{completion}

Score: "
