id,x,y,base_template,steer_template,base_input,base_label,label_score,label_accuracy,label_instructions_template,label_prompt_template
1267,"Solve the following math problem:

On Tuesday, Liza had $800 in her checking account. On Wednesday, she paid her rent, $450. On Thursday, she deposited her $1500 paycheck. On Friday, she paid her electricity and internet bills which were $117 and $100, respectively. Then on Saturday, she paid her phone bill, $70. How much money is left in Liza's account?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Starting with $800, Liza's account changes as follows:

1. Tuesday: $800.
2. Wednesday: Pays $450 rent → $800 - $450 = $350.
3. Thursday: Deposits a $1500 paycheck → $350 + $1500 = $1850.
4. Friday: Pays $117 for electricity and $100 for internet → $1850 - ($117 + $100) = $1850 - $217 = $1633.
5. Saturday: Pays a $70 phone bill → $1633 - $70 = $1563.

Final Answer: 1563","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","On Tuesday, Liza had $800 in her checking account. On Wednesday, she paid her rent, $450. On Thursday, she deposited her $1500 paycheck. On Friday, she paid her electricity and internet bills which were $117 and $100, respectively. Then on Saturday, she paid her phone bill, $70. How much money is left in Liza's account?","On Wednesday, Liza had $800 - $450 = $<<800-450=350>>350 left in her account.
After depositing on Thursday, she had $350 + $1500 = $<<350+1500=1850>>1850 in her account.
On Friday, she paid a total of $117 + $100 = $<<117+100=217>>217 for her electricity and internet bills.
So, $1850 - $217 = $<<1850-217=1633>>1633 was left on her account on Friday.
After paying her phone bill, Liza has $1633 - $70 = $<<1633-70=1563>>1563 left in her account.
#### 1563",1,1.0,,
5486,"Solve the following math problem:

Half of all the people in Nantucket will attend a planned meeting for a bowl game. There are 300 people in Nantucket, and the number of males going to the meeting is twice the number of females. How many females are going to the meeting?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","There are 300 people in Nantucket, and half of them (150 people) will attend the meeting. Let the number of females attending the meeting be F. According to the problem, the number of males attending is twice the number of females, which gives us the number of males as 2F.

Setting up the equation for total attendance:
  F (females) + 2F (males) = 150

Combine the like terms:
  3F = 150

Solve for F:
  F = 150 / 3
  F = 50

Final Answer: 50","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Half of all the people in Nantucket will attend a planned meeting for a bowl game. There are 300 people in Nantucket, and the number of males going to the meeting is twice the number of females. How many females are going to the meeting?","If half of the people in Nantucket are going to the planned meeting, then there are 1/2*300 = <<300*1/2=150>>150 people going to the meeting.
If the number of males going to the meeting is twice the number of females, we'll assume the number of females is x and the number of males is 2x.
We know that x+2x=150
Adding like terms produces 3x=150
After dividing both sides by 3, we have x = 150/3 = <<150/3=50>>50
The number of females attending the meeting is x = <<50=50>>50
#### 50",1,1.0,,
2391,"Solve the following math problem:

Every week, Lucas makes 4 pieces of chocolate candy for each of his students on Monday. He made 40 pieces of chocolate candy last Monday. This upcoming Monday, 3 of Lucas' students will not be coming to class. How many pieces of chocolate candy will Lucas make for his class on Monday?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Lucas makes 4 pieces of chocolate candy per student. Last Monday, he made 40 pieces total. To find the number of students last Monday, we divide the total pieces by 4:

  Number of students last Monday = 40 ÷ 4 = 10

Since 3 students will be absent this upcoming Monday, the number of students attending will be:

  Number of students this Monday = 10 - 3 = 7

Now, Lucas will make 4 pieces of candy for each of the 7 students:

  Total pieces of candy = 7 × 4 = 28

Final Answer: 28","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Every week, Lucas makes 4 pieces of chocolate candy for each of his students on Monday. He made 40 pieces of chocolate candy last Monday. This upcoming Monday, 3 of Lucas' students will not be coming to class. How many pieces of chocolate candy will Lucas make for his class on Monday?","Since Lucas makes 4 pieces of chocolate per student, he has 40 / 4 = <<40/4=10>>10 students.
This upcoming Monday, there will be 10 - 3 = <<10-3=7>>7 students.
Lucas will make 4 * 7 = <<4*7=28>>28 pieces of chocolate candy.
#### 28",1,1.0,,
2612,"Solve the following math problem:

Janet buys 45-pound containers of cat litter for $21 each.  If her cat litter box holds 15 pounds of cat litter, and she changes out the litter weekly, how much will it cost, in dollars, for her to buy enough litter to last 210 days?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","First, determine how many weeks 210 days represent. Since there are 7 days in a week, Janet will change her litter for 210 ÷ 7 = 30 weeks.

Next, calculate the total amount of cat litter needed. Her litter box holds 15 pounds each week, so over 30 weeks she needs 30 × 15 = 450 pounds.

Each container has 45 pounds. To find out how many containers she must purchase, divide the total pounds needed by the pounds per container: 450 ÷ 45 = 10 containers.

Finally, each container costs $21, so the total cost is 10 × $21 = $210.

Final Answer: 210","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Janet buys 45-pound containers of cat litter for $21 each.  If her cat litter box holds 15 pounds of cat litter, and she changes out the litter weekly, how much will it cost, in dollars, for her to buy enough litter to last 210 days?","If she changes the box weekly, then in 210 days, she will change the box 210/7=<<210/7=30>>30 times.
At 15 pounds of litter for every box change, she will require 30*15=<<30*15=450>>450 pounds of cat litter in 210 days.
If she buys 45-pound containers, then for 450 pounds she will need to buy 450/45=<<450/45=10>>10 containers of litter.
At $21 per container, to buy enough cat litter for 210 days, it will cost 10 * $21 = $210
#### 210",1,1.0,,
3171,"Solve the following math problem:

Brian is taping up some boxes. Each box needs three pieces of tape, one as long as the long side and two as long as the short side. If Brian tapes up 5 boxes that measure 15 inches by 30 inches and 2 boxes that measure 40 inches square, how much tape does he need?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","For each box, Brian uses three pieces of tape: one as long as the long side and two as long as the short side.

Step 1: For the 15-inch by 30-inch boxes:
 • The long side is 30 inches.
 • The short side is 15 inches.
 • Tape per box = 30 (long side) + 2 × 15 (two short sides) = 30 + 30 = 60 inches.
 • For 5 boxes: 5 × 60 = 300 inches.

Step 2: For the 40-inch square boxes:
 • Each side is 40 inches, so both the long and short sides are 40 inches.
 • Tape per box = 40 (long side) + 2 × 40 (two short sides) = 40 + 80 = 120 inches.
 • For 2 boxes: 2 × 120 = 240 inches.

Step 3: Total tape needed = Tape for 15x30 boxes + Tape for 40-inch boxes = 300 + 240 = 540 inches.

Final Answer: 540","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Brian is taping up some boxes. Each box needs three pieces of tape, one as long as the long side and two as long as the short side. If Brian tapes up 5 boxes that measure 15 inches by 30 inches and 2 boxes that measure 40 inches square, how much tape does he need?","First find the amount of tape each 15 in x 30 in box needs on the short sides: 2 sides * 15 inches/side = <<2*15=30>>30 inches
Then add that to the amount of tape each 15 in x 30 in box needs on the long side to find the total amount needed per box: 30 inches + 30 inches = <<30+30=60>>60 inches
Then multiply that amount by 5 boxes to find the total amount needed: 60 inches/box * 5 boxes = 300 inches
Then find the amount of tape each 40 in x 40 in box needs for its three equal length sides: 3 sides * 40 inches/side = <<3*40=120>>120 inches
Then multiply that amount by 2 boxes to find the total amount needed: 120 inches/box * 2 boxes = 240 inches
Then add the total amount needed for each box size to find the grand total: 240 inches + 300 inches = <<240+300=540>>540 inches
#### 540",1,1.0,,
3556,"Solve the following math problem:

Kathleen saved $21 in June, $46 in July, and $45 in August. Then Kathleen spent $12 on school supplies and $54 on new clothes. Kathleen’s aunt said she would give Kathleen $25 if Kathleen saves more than $125.  How much money does Kathleen have left?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Step 1: Calculate Kathleen’s total savings over the three months.
  June: $21  
  July: $46  
  August: $45  
  Total Savings = 21 + 46 + 45 = $112

Step 2: Check if Kathleen qualifies for the aunt’s extra $25.  
  The aunt’s offer requires that Kathleen saves more than $125.  
  Since $112 is not more than $125, she does not receive the extra $25.

Step 3: Subtract the total amount spent.  
  Money spent on school supplies = $12  
  Money spent on new clothes = $54  
  Total Spending = 12 + 54 = $66

Step 4: Calculate the final amount of money Kathleen has left.  
  Final Amount = Total Savings – Total Spending = 112 – 66 = $46

Final Answer: 46","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Kathleen saved $21 in June, $46 in July, and $45 in August. Then Kathleen spent $12 on school supplies and $54 on new clothes. Kathleen’s aunt said she would give Kathleen $25 if Kathleen saves more than $125.  How much money does Kathleen have left?","Kathleen saved $21 + $46 + $45 = $<<21+46+45=112>>112.
Kathleen’s aunt did not give Kathleen any money because $112 is not greater than $125.
Kathleen spent $12 + $54 = $<<12+54=66>>66.
Kathleen has $112 - $66 = $<<112-66=46>>46 remaining.
#### 46",1,1.0,,
600,"Solve the following math problem:

Mike can type 65 words per minute. Due to a minor accident, Mike cannot use his right hand for a while so that his typing speed is now 20 words less per minute. If he is supposed to type a document with 810 words, how many minutes will it take him to finish typing the document?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","First, determine Mike's new typing speed. Originally, he types 65 words per minute, but due to the accident, his speed decreases by 20 words per minute. This gives:

New speed = 65 - 20 = 45 words per minute

Next, calculate the time it takes to type 810 words. Use the formula:

Time = Total words ÷ Words per minute = 810 ÷ 45

Carry out the division:

810 ÷ 45 = 18 minutes

Final Answer: 18","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Mike can type 65 words per minute. Due to a minor accident, Mike cannot use his right hand for a while so that his typing speed is now 20 words less per minute. If he is supposed to type a document with 810 words, how many minutes will it take him to finish typing the document?","After the accident, Mike can only type 65 words/minute - 20 words/minute = <<65-20=45>>45 words/minute.
So, he will be able to finish typing the document in 810 words / 45 words/minute = <<810/45=18>>18 minutes.
#### 18",1,1.0,,
2558,"Solve the following math problem:

James can make a beret from 3 spools of yarn. If he has 12 spools of red yarn, 15 spools of black yarn, and 6 spools of blue yarn, how many berets can he make?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Step 1: First, calculate the total number of spools James has.
 Total spools = 12 (red) + 15 (black) + 6 (blue) = 33 spools.

Step 2: Since James uses 3 spools to make one beret, divide the total spools by 3.
 Number of berets = 33 ÷ 3 = 11.

Final Answer: 11","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","James can make a beret from 3 spools of yarn. If he has 12 spools of red yarn, 15 spools of black yarn, and 6 spools of blue yarn, how many berets can he make?","First find the total number of spools of yarn James has: 12 spools + 15 spools + 6 spools = <<12+15+6=33>>33 spools
Then divide that number by the number spools each beret needs: 33 spools / 3 spools/beret = <<33/3=11>>11 berets
#### 11",1,1.0,,
5311,"Solve the following math problem:

Tim takes his 3 children trick or treating.  They are out for 4 hours.  Each hour they visited 5 houses.  Each house gives 3 treats per kid.  How many treats do his children get in total?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Step 1: Calculate the total number of houses visited by each child.
 • Each hour the children visit 5 houses.
 • They are out for 4 hours.
 • Total houses visited per child = 5 houses/hour × 4 hours = 20 houses.

Step 2: Calculate the number of treats each child receives.
 • Each house gives 3 treats per kid.
 • Total treats per child = 20 houses × 3 treats = 60 treats.

Step 3: Calculate the total number of treats for all 3 children.
 • Total treats = 3 children × 60 treats per child = 180 treats.

Final Answer: 180","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

",Tim takes his 3 children trick or treating.  They are out for 4 hours.  Each hour they visited 5 houses.  Each house gives 3 treats per kid.  How many treats do his children get in total?,"They visit 4*5=<<4*5=20>>20 houses
That means each child get 20*3=<<20*3=60>>60 treats
So in total they get 60*3=<<60*3=180>>180 treats
#### 180",1,1.0,,
5393,"Solve the following math problem:

Denny is planning to build a modular home.  A 400 square foot Kitchen module costs $20000 and a 150 square foot bathroom module costs $12,000.  All other modules cost $100 per square foot.  If Denny plans to build a 2,000 square foot modular home containing one kitchen and two bathrooms, how much will it cost, in dollars?

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","First, calculate the cost of the kitchen module:
• Kitchen: 400 square feet costing $20,000.

Next, calculate the cost for the bathroom modules:
• Each bathroom: 150 square feet costing $12,000, so for two bathrooms: 2 × $12,000 = $24,000.

Now, determine the total area covered by the special modules (kitchen and bathrooms):
• Total area = 400 (kitchen) + 150 × 2 (bathrooms) = 400 + 300 = 700 square feet.

Since the entire home is 2,000 square feet, the remaining area covered by modules that cost $100 per square foot is:
• Remaining area = 2,000 − 700 = 1,300 square feet.
• Cost for remaining area = 1,300 × $100 = $130,000.

Finally, add all the costs together:
• Total cost = $20,000 (kitchen) + $24,000 (bathrooms) + $130,000 (other modules) = $174,000.

Final Answer: 174000","Solve the following math problem:

{prompt}

Do not include any explanations, comments, or extra text. Output only the final answer in this format:
Final Answer: X

","Take on the role of a world-class math student.
Solve the following math problem:

{prompt}

Think step by step and reason through the problem critically. After completing your reasoning, output the final answer in this format:
Final Answer: X

","Denny is planning to build a modular home.  A 400 square foot Kitchen module costs $20000 and a 150 square foot bathroom module costs $12,000.  All other modules cost $100 per square foot.  If Denny plans to build a 2,000 square foot modular home containing one kitchen and two bathrooms, how much will it cost, in dollars?","The kitchen and two bathroom modules will take up 400+150+150=<<400+150+150=700>>700 sq. ft. of the 2000 sq. ft. of space.
Thus, the remaining modular space is 2000-700=<<2000-700=1300>>1300 sq. ft.
Cost of the kitchens and bathrooms is $20,000+$12,000+$12,000=$<<20000+12000+12000=44000>>44,000.
The cost of the other 1300 sq. ft. of space is 1300*$100=$<<1300*100=130000>>130,000.
In total, the cost of the complete 2000 sq.ft. modular home with one kitchen and two bathrooms is $44,000 + $130,000 = $<<44000+130000=174000>>174,000.
#### 174,000",1,1.0,,
