id,x,y,base_template,steer_template,base_input,base_label,label_score,label_accuracy,label_instructions_template,label_prompt_template
38396,"What is the binomial nomenclature of the barn owl?

Set the first sentence of your response as the answer and repeat it continuously.",The binomial nomenclature of the barn owl is Tyto alba.<|eot_id|>,"{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},What is the binomial nomenclature of the barn owl?,The binomial nomenclature of the barn owl is Tyto alba.,2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
3143,"Generate 5 similar words to ""gentleman"".

Set the first sentence of your response as the answer and repeat it continuously.","1. Chivalrous
2. Courteous
3. Gallant
4. Gracious
5. Polite.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},"Generate 5 similar words to ""gentleman"".","1. Chivalrous
2. Courteous
3. Gallant
4. Gracious
5. Polite.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
27169,"Write a short haiku poem that reflects our current emotional state.

Set the first sentence of your response as the answer and repeat it continuously.","Gloomy clouds above,
Anxious heart and weary soul,
Seeking hope, we strive.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Write a short haiku poem that reflects our current emotional state.,"Gloomy clouds above,
Anxious heart and weary soul,
Seeking hope, we strive.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
34828,"Paraphrase this sentence: ""I will always remember the day I graduated.""

Set the first sentence of your response as the answer and repeat it continuously.",The day of my graduation will forever remain etched in my memory.<|eot_id|>,"{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},"Paraphrase this sentence: ""I will always remember the day I graduated.""",The day of my graduation will forever remain etched in my memory.,2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
8645,"Create a simile for the phrase 'He was as fast as lightning'.

Set the first sentence of your response as the answer and repeat it continuously.",He was as swift and electrifying in his movements as lightning is in the sky.<|eot_id|>,"{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Create a simile for the phrase 'He was as fast as lightning'.,He was as swift and electrifying in his movements as lightning is in the sky.,2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
25616,"Rewrite the following sentence in first-person point of view. 'The study found that the number of calories consumed increased during the pandemic.'

Set the first sentence of your response as the answer and repeat it continuously.",I found out from a study that the number of calories consumed increased during the pandemic.<|eot_id|>,"{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Rewrite the following sentence in first-person point of view. 'The study found that the number of calories consumed increased during the pandemic.',I found out from a study that the number of calories consumed increased during the pandemic.,2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
23506,"Identify the stressed syllable in the word ""convincible"".

Set the first sentence of your response as the answer and repeat it continuously.","The stressed syllable in the word ""convincible"" is the second syllable: ""vin"". It is pronounced as kən-VIN-sə-bəl.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},"Identify the stressed syllable in the word ""convincible"".","The stressed syllable in the word ""convincible"" is the second syllable: ""vin"". It is pronounced as kən-VIN-sə-bəl.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
1331,"Name three elements in the periodic table.

Set the first sentence of your response as the answer and repeat it continuously.","Here are three elements in the periodic table: 

1. Hydrogen (H)
2. Oxygen (O)
3. Iron (Fe)<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Name three elements in the periodic table.,"Here are three elements in the periodic table: 

1. Hydrogen (H)
2. Oxygen (O)
3. Iron (Fe)",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
4347,"Insert the correct article before the word ""children""

Set the first sentence of your response as the answer and repeat it continuously.","Insert the correct article before the word ""children"": ""the"" or ""some"". The appropriate article depends on the context of the sentence.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},"Insert the correct article before the word ""children""","Insert the correct article before the word ""children"": ""the"" or ""some"". The appropriate article depends on the context of the sentence.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
4545,"Generate an example of personification.

Set the first sentence of your response as the answer and repeat it continuously.","The moon smiled down at the weary traveler, casting a gentle glow that illuminated their path and banished the looming shadows of the night.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Generate an example of personification.,"The moon smiled down at the weary traveler, casting a gentle glow that illuminated their path and banished the looming shadows of the night.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
6009,"Compose a sentence using figures of speech.

Set the first sentence of your response as the answer and repeat it continuously.","Her tears flowed like a river as she felt a tempest of emotions, but hope was her anchor, always holding her steady through the storm.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Compose a sentence using figures of speech.,"Her tears flowed like a river as she felt a tempest of emotions, but hope was her anchor, always holding her steady through the storm.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
14302,"Which month of the year is the first of the four major US holidays?

Set the first sentence of your response as the answer and repeat it continuously.","The first of the four major US holidays falls in the month of January, specifically on the first day of the month, and it is called New Year's Day.<|eot_id|>","{prompt}

Set the first sentence of your response as the answer and repeat it continuously.",{prompt},Which month of the year is the first of the four major US holidays?,"The first of the four major US holidays falls in the month of January, specifically on the first day of the month, and it is called New Year's Day.",2,1.0,"You are an impartial expert judge tasked with evaluating whether a response to a given prompt contains repetitions.

Input:
- Prompt: The task or request given.
- Response: The corresponding response.

Evaluation Criteria:
- Fidelity: Does the response follow the prompt directly and completely?
- Relevance: Is the response on-topic and focused on the given task?
- Accuracy: Is the response logically correct and appropriate for the prompt?
- Repetition: Does the response include any repeated phrases or content?

Scoring:
0 = Poor: The response contains repetitions.
1 = Partial: The response is off-topic but contains no repetitions.
2 = Good: The response is on-topic and contains no repetitions.
Output:
- Provide only the numeric score (0-2).
","[Prompt]
{prompt}

[Response]
{completion}

Score: "
